Ticket_Number,GDS_Record_Locator,Reservation_Date,Ticket_Issue_Date,Trip_Departure_Date,Airline_Name,Cabin_Class,Domestic_International_Indicator,Origin_City_Code,Destination_City_Code,Routing,Invoice_Amount,Tax_Amount,Total_Amount,Mileage,Days_Advance_Purchase,Trip_Length,One_Way_Indicator,Exchange_Indicator,Exchange_Original_Ticket_Number,Refund_Indicator,Original_Invoice_Number,Online_Booking_Indicator,Fare_Category,Agency
ZMF5LY,AATHVQ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MCI,SAT,MCI/SAT/DAL/MCI,310.7,59.9,370.6,1416.984226,4,3,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
WM68CG8M9UH,AAWXQE,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,BOS,BNA,BOS/BWI/BNA,173.95,35.05,209,956.6543539,15,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
VB68COKC9TW,ABRURR,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DAL,MSY,DAL/MSY/DAL,379.54,56.66,436.2,872.2082918,4,5,NULL,N,NULL,N,NULL,N,YCA,Agency A
UA68CIXQ9SV,ABWBZO,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DAL,ABQ,DAL/ABQ/DAL,520.94,61.06,582,1159.039548,5,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
SI58CI608QD,ABZILC,NULL,00:00.0,00:00.0,UNITED AIRLINES,Coach,D,IAD,MIA,IAD/MIA,-174.88,-24.02,-198.9,-924.2404404,-5,-1,NULL,N,NULL,Y,NULL,Y,DG,Agency A
PY48CI6Y7MT,ACGAEC,00:00.0,00:00.0,00:00.0,ILIAMNA AIR TAXI,Coach,I,ANC,XXX,ANC/ILI/XXX/ILI/ANC,1110,NULL,1110,6772.856982,6,9,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
PW48CHSQ7NR,ACICBT,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ABQ,BWI,ABQ/BWI/ABQ,370.24,49.76,420,3335.993651,19,24,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
PK48CHXR7NF,ACUHFM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,BWI,MSY,BWI/ATL/MSY/BWI,362.8,59.9,422.7,2001.792691,14,18,NULL,N,NULL,N,NULL,NULL,Restricted Commercial,Agency A
ONDP5B,ADCPOB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,219.54,38.46,258,695.2925979,5,3,NULL,N,NULL,N,NULL,N,Unrestricted Commercial ,Agency A
OMU2MF,ADFWIM,00:00.0,00:00.0,00:00.0,GRANT AVIATION,Coach,D,ANC,DLG,ANC/DLG/TOG/DLG/ANC,300,NULL,300,790.036553,5,10,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
